,STATEFIPS,YEAR,Child Poverty Rate
2262,40,2021,0.21
2263,39,2021,0.19
2264,41,2021,0.14
2265,45,2021,0.2
2266,44,2021,0.15
2267,42,2021,0.17
2268,47,2021,0.18
2269,46,2021,0.15
2270,49,2021,0.08
2271,48,2021,0.2
2272,53,2021,0.12
2273,51,2021,0.13
2274,50,2021,0.1
2275,54,2021,0.21
2277,55,2021,0.13
2278,56,2021,0.13
2383,56,2023,0.15
2384,55,2023,0.13
2385,54,2023,0.2
2386,53,2023,0.12
2390,51,2023,0.13
2391,50,2023,0.09
2392,49,2023,0.09
2393,48,2023,0.18
2394,47,2023,0.2
2395,46,2023,0.15
2396,45,2023,0.19
2397,44,2023,0.13
2398,42,2023,0.16
2399,41,2023,0.14
2400,40,2023,0.21
2401,39,2023,0.18
2402,38,2023,0.09
2403,37,2023,0.18
2404,36,2023,0.19
2405,35,2023,0.25
2406,34,2023,0.13
2407,33,2023,0.08
2408,32,2023,0.16
2409,31,2023,0.11
2410,30,2023,0.12
2411,29,2023,0.14
2412,28,2023,0.23
2413,27,2023,0.1
2414,26,2023,0.18
2415,25,2023,0.13
2416,24,2023,0.11
2417,23,2023,0.13
2418,22,2023,0.25
2419,21,2023,0.21
2420,20,2023,0.13
2421,19,2023,0.14
2422,18,2023,0.15
2423,17,2023,0.15
2424,16,2023,0.11
2425,15,2023,0.11
2426,13,2023,0.18
2427,12,2023,0.16
2429,10,2023,0.15
2430,09,2023,0.13
2431,08,2023,0.11
2432,06,2023,0.15
2433,05,2023,0.21
2434,04,2023,0.15
2435,02,2023,0.12
2436,01,2023,0.21
