,State,Enrolled Individuals,Year
1,23,167767.8333,2023
2,25,1084038.6667,2023
3,33,74617.3333,2023
4,36,2886162.5,2023
5,44,142962.5,2023
6,50,70685.1667,2023
7,78,21206.6667,2023
0,10,121174.3333,2023
2,24,671132.0,2023
3,34,771277.4167,2023
4,42,1927477.8333,2023
6,51,842819.0,2023
7,54,307242.3333,2023
0,01,776479.0833,2023
1,12,3089910.75,2023
2,13,1543122.4167,2023
3,21,554221.0833,2023
4,28,399186.3333,2023
5,37,1594275.1667,2023
6,45,619480.0,2023
7,47,767843.4167,2023
0,17,2031384.5,2023
1,18,598746.5,2023
2,19,262612.9167,2023
3,26,1430173.75,2023
4,27,460568.0833,2023
5,39,1418004.9167,2023
6,55,707321.3333,2023
0,04,898016.0833,2023
1,05,249708.75,2023
2,22,896550.6667,2023
3,35,488363.5,2023
4,40,681521.75,2023
5,48,3396071.4167,2023
6,49,158441.25,2023
0,08,564020.0833,2023
1,20,186985.25,2023
2,29,665252.3333,2023
3,30,84526.8333,2023
4,31,156399.1667,2023
5,38,45153.0833,2023
6,46,71470.1667,2023
7,56,29744.9167,2023
0,02,54650.5,2023
2,06,5217210.8333,2023
3,66,48594.75,2023
4,15,157619.4167,2023
5,16,124043.25,2023
6,32,493015.0,2023
7,41,732422.0,2023
8,53,896287.0833,2023
0,09,391084.0,2024
1,23,172101.0,2024
2,25,1112451.7273,2024
3,33,76948.2727,2024
4,36,2921904.2727,2024
5,44,144176.3636,2024
6,50,66639.3636,2024
7,78,21497.7273,2024
0,10,117331.5455,2024
2,24,693505.7273,2024
3,34,825719.5455,2024
4,42,1998745.5455,2024
6,51,828158.8182,2024
7,54,277507.1818,2024
0,01,751877.3636,2024
1,12,2965369.2727,2024
2,13,1410300.3636,2024
3,21,592429.8182,2024
4,28,385486.3636,2024
5,37,1416543.5455,2024
6,45,581448.1818,2024
7,47,707583.3636,2024
0,17,1937532.7273,2024
1,18,610513.0,2024
2,19,259158.2727,2024
3,26,1476384.0,2024
4,27,453714.7273,2024
5,39,1387365.8182,2024
6,55,705412.8182,2024
0,04,922882.6364,2024
1,05,240657.3636,2024
2,22,848276.3636,2024
3,35,447801.3636,2024
4,40,685775.0909,2024
5,48,3173641.4545,2024
6,49,168886.9091,2024
0,08,582624.3636,2024
1,20,186969.1818,2024
2,29,655667.0,2024
3,30,81561.1818,2024
4,31,155174.1818,2024
5,38,48367.9091,2024
6,46,75026.5455,2024
7,56,29085.9091,2024
0,02,69227.3476,2024
2,06,5370789.2727,2024
3,66,32642.3636,2024
4,15,162047.3636,2024
5,16,130747.2727,2024
6,32,504685.6364,2024
7,41,756674.7273,2024
8,53,887105.6364,2024
